urn	hgvs_lines	peak_rss_gb
urn:mavedb:00000805-a-1	920	4.300
urn:mavedb:00000806-a-1	800	0.127
urn:mavedb:00000807-a-1	1240	0.134
urn:mavedb:00000808-a-1	440	0.122
urn:mavedb:00000809-a-1	1200	4.900
urn:mavedb:00000810-a-1	1120	4.200
urn:mavedb:00000811-a-1	1200	9.200
urn:mavedb:00000812-a-1	1640	5.200
urn:mavedb:00000813-a-1	1800	0.129
urn:mavedb:00000814-a-1	1560	0.130
urn:mavedb:00000815-a-1	1800	0.131
urn:mavedb:00000816-a-1	1320	11.400
urn:mavedb:00000817-a-1	1240	0.549
urn:mavedb:00000818-a-1	880	0.493
urn:mavedb:00000819-a-1	1600	0.167
urn:mavedb:00000820-a-1	1480	8.700
urn:mavedb:00000821-a-1	1440	8.400
urn:mavedb:00000822-a-1	1520	0.139
urn:mavedb:00000823-a-1	1220	0.152
urn:mavedb:00000824-a-1	1580	0.148
urn:mavedb:00000825-a-1	1360	0.142
urn:mavedb:00000826-a-1	820	0.932
urn:mavedb:00000827-a-1	440	0.542
urn:mavedb:00000828-a-1	460	0.441
urn:mavedb:00000829-a-1	440	0.424
urn:mavedb:00000830-a-1	500	0.129
urn:mavedb:00000831-a-1	500	0.119
urn:mavedb:00000832-a-1	500	0.121
urn:mavedb:00000833-a-1	480	0.122
urn:mavedb:00000834-a-1	460	0.148
urn:mavedb:00000835-a-1	1120	0.128
urn:mavedb:00000836-a-1	1820	0.126
urn:mavedb:00000837-a-1	1260	0.117
urn:mavedb:00000838-a-1	1120	0.116
urn:mavedb:00000839-a-1	1120	1.200
urn:mavedb:00000840-a-1	1280	0.122
urn:mavedb:00000841-a-1	1380	0.121
urn:mavedb:00000842-a-1	760	0.133
urn:mavedb:00000843-a-1	1160	0.495
urn:mavedb:00000844-a-1	1360	0.143
urn:mavedb:00000845-a-1	900	0.124
urn:mavedb:00000846-a-1	1520	0.166
urn:mavedb:00000847-a-1	1120	0.118
urn:mavedb:00000848-a-1	1340	0.127
urn:mavedb:00000849-a-1	1480	0.194
urn:mavedb:00000850-a-1	840	0.123
urn:mavedb:00000851-a-1	800	0.129
urn:mavedb:00000852-a-1	820	0.130
urn:mavedb:00000853-a-1	1060	0.119
urn:mavedb:00000854-a-1	820	0.119
urn:mavedb:00000855-a-1	1180	0.133
urn:mavedb:00000856-a-1	1000	5.700
urn:mavedb:00000857-a-1	1080	6.100
urn:mavedb:00000858-a-1	1180	1.700
urn:mavedb:00000859-a-1	1140	0.128
urn:mavedb:00000860-a-1	1260	0.129
urn:mavedb:00000861-a-1	1140	0.128
urn:mavedb:00000862-a-1	1160	0.130
urn:mavedb:00000863-a-1	1100	1.400
urn:mavedb:00000864-a-1	1280	0.139
urn:mavedb:00000865-a-1	1240	0.123
urn:mavedb:00000866-a-1	1580	0.164
urn:mavedb:00000867-a-1	1040	0.129
urn:mavedb:00000868-a-1	1340	0.127
urn:mavedb:00000869-a-1	1100	0.127
urn:mavedb:00000870-a-1	1460	0.128
urn:mavedb:00000871-a-1	1220	0.170
urn:mavedb:00000872-a-1	480	0.124
urn:mavedb:00000873-a-1	940	3.100
urn:mavedb:00000874-a-1	880	0.181
urn:mavedb:00000875-a-1	1160	4.600
urn:mavedb:00000876-a-1	840	0.127
urn:mavedb:00000877-a-1	1680	0.123
urn:mavedb:00000878-a-1	1660	21.000
urn:mavedb:00000879-a-1	1180	0.138
urn:mavedb:00000880-a-1	1460	5.400
urn:mavedb:00000881-a-1	1380	0.118
urn:mavedb:00000882-a-1	920	0.130
urn:mavedb:00000883-a-1	1000	0.128
urn:mavedb:00000884-a-1	1760	0.131
urn:mavedb:00000885-a-1	1680	0.188
urn:mavedb:00000886-a-1	1640	0.136
urn:mavedb:00000887-a-1	900	0.191
urn:mavedb:00000888-a-1	860	0.120
urn:mavedb:00000889-a-1	700	0.123
urn:mavedb:00000890-a-1	1900	0.352
urn:mavedb:00000891-a-1	1680	0.132
urn:mavedb:00000892-a-1	900	0.129
urn:mavedb:00000893-a-1	580	0.127
urn:mavedb:00000894-a-1	620	0.124
urn:mavedb:00000895-a-1	1440	3.500
urn:mavedb:00000896-a-1	1340	0.118
urn:mavedb:00000897-a-1	1360	0.127
urn:mavedb:00000898-a-1	1300	2.100
urn:mavedb:00000899-a-1	860	0.120
urn:mavedb:00000900-a-1	900	0.111
urn:mavedb:00000901-a-1	980	0.125
urn:mavedb:00000902-a-1	440	0.126
urn:mavedb:00000903-a-1	380	0.129
urn:mavedb:00000904-a-1	1700	0.142
urn:mavedb:00000905-a-1	1840	0.141
urn:mavedb:00000906-a-1	1920	0.139
urn:mavedb:00000907-a-1	1760	0.140
urn:mavedb:00000908-a-1	1780	1.300
urn:mavedb:00000909-a-1	860	0.789
urn:mavedb:00000910-a-1	1120	0.509
urn:mavedb:00000911-a-1	1120	0.119
urn:mavedb:00000912-a-1	1060	0.135
urn:mavedb:00000913-a-1	1040	0.121
urn:mavedb:00000914-a-1	1020	0.187
urn:mavedb:00000915-a-1	940	0.133
urn:mavedb:00000916-a-1	1240	0.138
urn:mavedb:00000917-a-1	1160	0.129
urn:mavedb:00000918-a-1	880	0.146
urn:mavedb:00000919-a-1	860	3.000
urn:mavedb:00000922-a-1	1060	0.118
urn:mavedb:00000925-a-1	1320	12.700
urn:mavedb:00000926-a-1	1500	6.400
urn:mavedb:00000927-a-1	1180	5.000
urn:mavedb:00000928-a-1	1200	5.100
urn:mavedb:00000929-a-1	1160	0.132
urn:mavedb:00000930-a-1	1220	1.400
urn:mavedb:00000931-a-1	1020	0.255
urn:mavedb:00000932-a-1	980	0.136
urn:mavedb:00000933-a-1	880	0.134
urn:mavedb:00000934-a-1	920	0.199
urn:mavedb:00000935-a-1	600	0.408
urn:mavedb:00000936-a-1	1200	0.125
urn:mavedb:00000937-a-1	1380	0.128
urn:mavedb:00000938-a-1	1540	0.128
urn:mavedb:00000939-a-1	1520	0.130
urn:mavedb:00000940-a-1	1520	0.186
urn:mavedb:00000941-a-1	1540	0.130
urn:mavedb:00000942-a-1	1120	1.900
urn:mavedb:00000943-a-1	460	0.117
urn:mavedb:00000944-a-1	1160	0.118
urn:mavedb:00000945-a-1	1180	0.707
urn:mavedb:00000946-a-1	1180	0.152
urn:mavedb:00000947-a-1	1780	0.128
urn:mavedb:00000948-a-1	1860	0.200
urn:mavedb:00000949-a-1	1100	9.400
urn:mavedb:00000950-a-1	1120	0.146
urn:mavedb:00000951-a-1	1240	1.600
urn:mavedb:00000952-a-1	1460	0.132
urn:mavedb:00000953-a-1	1140	0.151
urn:mavedb:00000955-a-1	940	0.129
urn:mavedb:00000956-a-1	1120	0.130
urn:mavedb:00000957-a-1	1800	0.147
urn:mavedb:00000958-a-1	1900	0.164
urn:mavedb:00000959-a-1	1120	0.124
urn:mavedb:00000960-a-1	800	1.900
urn:mavedb:00000961-a-1	1220	0.137
urn:mavedb:00000962-a-1	1120	8.400
urn:mavedb:00000963-a-1	1320	10.000
urn:mavedb:00000966-a-1	1380	0.120
urn:mavedb:00000967-a-1	1400	0.124
urn:mavedb:00000968-a-1	1400	0.129
urn:mavedb:00000969-a-1	1500	0.123
urn:mavedb:00000970-a-1	1560	0.119
urn:mavedb:00000971-a-1	1120	0.117
urn:mavedb:00000972-a-1	1540	0.119
urn:mavedb:00000973-a-1	1120	0.123
urn:mavedb:00000974-a-1	1380	0.124
urn:mavedb:00000975-a-1	1120	0.113
urn:mavedb:00000976-a-1	1640	0.125
urn:mavedb:00000977-a-1	1440	0.119
urn:mavedb:00000978-a-1	1440	0.443
urn:mavedb:00000979-a-1	1580	8.400
urn:mavedb:00000980-a-1	1800	0.124
urn:mavedb:00000981-a-1	1100	0.121
urn:mavedb:00000982-a-1	1500	0.145
urn:mavedb:00000983-a-1	1260	0.131
urn:mavedb:00000984-a-1	440	0.279
urn:mavedb:00000985-a-1	440	0.122
urn:mavedb:00000986-a-1	460	0.119
urn:mavedb:00000987-a-1	420	0.118
urn:mavedb:00000988-a-1	1100	7.400
urn:mavedb:00000989-a-1	1120	1.200
urn:mavedb:00000990-a-1	1360	0.134
urn:mavedb:00000991-a-1	1080	1.600
urn:mavedb:00000992-a-1	1000	1.200
urn:mavedb:00000993-a-1	1200	0.406
urn:mavedb:00000994-a-1	1100	0.352
urn:mavedb:00000995-a-1	1020	1.400
urn:mavedb:00000996-a-1	1180	7.500
urn:mavedb:00000997-a-1	1120	0.120
urn:mavedb:00000998-a-1	1120	1.100
urn:mavedb:00000999-a-1	1620	0.122
urn:mavedb:00001000-a-1	900	0.121
urn:mavedb:00001001-a-1	900	0.121
urn:mavedb:00001002-a-1	1420	18.100
urn:mavedb:00001003-a-1	1540	2.400
urn:mavedb:00001004-a-1	600	0.124
urn:mavedb:00001005-a-1	620	0.124
urn:mavedb:00001007-a-1	1220	0.129
urn:mavedb:00001008-a-1	560	0.125
urn:mavedb:00001009-a-1	1100	0.197
urn:mavedb:00001010-a-1	860	5.500
urn:mavedb:00001011-a-1	560	0.140
urn:mavedb:00001012-a-1	520	0.140
urn:mavedb:00001013-a-1	1280	0.121
urn:mavedb:00001014-a-1	960	0.753
urn:mavedb:00001015-a-1	840	0.126
urn:mavedb:00001016-a-1	1500	0.128
urn:mavedb:00001017-a-1	1620	0.126
urn:mavedb:00001018-a-1	500	0.110
urn:mavedb:00001019-a-1	600	0.133
urn:mavedb:00001020-a-1	380	0.123
urn:mavedb:00001021-a-1	1120	0.120
urn:mavedb:00001022-a-1	1100	0.134
urn:mavedb:00001024-a-1	1280	0.124
urn:mavedb:00001026-a-1	1200	7.900
urn:mavedb:00001027-a-1	1540	0.126
urn:mavedb:00001029-a-1	880	0.127
urn:mavedb:00001030-a-1	1100	0.146
